# Entity-resolution crosswalk: IIHS nameplate <-> FARS make/model codes.
# Built semi-automatically by src/vsa/tools/build_crosswalk.py:
# FARS VIN samples -> vPIC decode -> fuzzy match to IIHS nameplates.
# Low-confidence rows are duplicated into crosswalk_review.csv — review
# and correct HERE (this file is what resolve() reads). Every MY2017/
# MY2020 death-rate row must resolve or `make resolve` fails loudly.
iihs_name,fars_make_code,fars_model_code,vpic_body_class,drivetrain,class,luxury_flag
Fiat 500L,36,401,Sport Utility Vehicle [SUV]/Multipurpose Vehicle [MPV],NAN,small station wagons/minivans,0
Nissan Versa Note,35,50,Sedan/Saloon,NAN,small station wagons/minivans,0
Ford C-Max hybrid,12,27,Hatchback/Liftback/Notchback,NAN,small station wagons/minivans,0
Ford Focus,12,37,Hatchback/Liftback/Notchback,NAN,small station wagons/minivans,0
Toyota Prius v,49,46,Hatchback/Liftback/Notchback,NAN,small station wagons/minivans,0
Chrysler Pacifica,6,443,Minivan,NAN,very large station wagons/minivans,0
Toyota Sienna,49,442,Minivan,4WD,very large station wagons/minivans,0
Ford F-150,12,481,Pickup,2WD,large pickups,0
Chevrolet Silverado 1500 Extended Cab,20,481,Pickup,2WD,large pickups,0
Toyota Tundra Double Cab short bed,49,482,Pickup,2WD,large pickups,0
Ram 1500 short bed,7,482,Pickup,2WD,large pickups,0
GMC Sierra 1500 Extended Cab,23,481,Pickup,2WD,large pickups,0
GMC Sierra 1500 Extended Cab,23,481,Pickup,4WD,large pickups,0
Toyota Tundra Crew Max,49,482,Pickup,2WD,large pickups,0
Chevrolet Silverado 1500,20,481,Pickup,4WD,large pickups,0
Ford F-150 Crew Cab,12,481,Pickup,4WD,large pickups,0
GMC Sierra 1500 Crew Cab,23,481,Pickup,2WD,large pickups,0
Ford F-150 Supercab,12,481,Pickup,2WD,large pickups,0
Ram 1500 Crew Cab long bed,7,482,Pickup,4WD,large pickups,0
Chevrolet Silverado 1500,20,481,Pickup,2WD,large pickups,0
Ford F-150 Crew Cab,12,481,Pickup,2WD,large pickups,0
Ram 1500 Quad Cab,7,482,Pickup,2WD,large pickups,0
Ford F250 Crew Cab,12,880,Pickup,4WD,very large pickups,0
Chevrolet Silverado 3500 Crew Cab,20,880,Pickup,4WD,very large pickups,0
Chevrolet Silverado 2500 Extended Cab,20,880,Pickup,4WD,very large pickups,0
GMC Sierra 2500 Crew Cab,23,880,Pickup,4WD,very large pickups,0
