cycle,nameplate,class,drivetrain,model_years,rate_overall,ci_lo,ci_hi,rate_mv,rate_sv,rate_sv_roll,exposure_rvy
MY2014,Chevrolet Silverado 1500 Double Cab,large pickups,4WD,2014,27,6,79,27.0,0.0,0.0,110928
MY2014,Ford F-150 SuperCrew,large pickups,2WD,2011-14,22,10,34,13.0,9.0,5.0,752314
MY2014,Toyota Tundra Double Cab short bed,large pickups,4WD,2011-14,17,4,30,10.0,7.0,0.0,309785
MY2014,Nissan Titan Crew Cab short bed,large pickups,4WD,2011-14,73,16,130,15.0,62.0,30.0,100450
MY2014,Ford F-150 SuperCrew,large pickups,4WD,2011-14,24,17,31,14.0,10.0,4.0,2062582
MY2014,Toyota Tundra CrewMax,large pickups,2WD,2011-14,28,3,53,17.0,11.0,0.0,135943
MY2014,Chevrolet Silverado 1500 Crew Cab,large pickups,4WD,2014,35,12,59,12.0,24.0,8.0,191713
MY2014,Ford F250 SuperCab,very large pickups,4WD,2011-14,31,9,53,20.0,12.0,0.0,196337
MY2014,GMC Sierra 2500 Crew Cab,very large pickups,4WD,2011-14,27,7,48,16.0,12.0,4.0,194228
MY2014,Chevrolet Silverado 3500 Crew Cab,very large pickups,4WD,2011-14,33,4,63,0.0,33.0,20.0,113065
MY2014,Ford F350 Crew Cab,very large pickups,4WD,2011-14,13,3,23,6.0,7.0,6.0,407086
MY2014,Chevrolet Silverado 2500 Crew Cab,very large pickups,4WD,2011-14,34,18,51,14.0,21.0,15.0,394849
MY2014,Ram 2500 Crew Cab short bed,very large pickups,4WD,2013-14,44,8,81,38.0,7.0,7.0,102118
MY2014,Ford F250 Crew Cab,very large pickups,4WD,2011-14,35,22,47,12.0,23.0,16.0,633436
MY2014,Hyundai Tucson,small SUVs,2WD,2011-14,26,7,45,21.0,5.0,2.0,309732
MY2014,Kia Sportage,small SUVs,2WD,2011-14,37,6,69,24.0,13.0,0.0,246232
MY2014,Honda CR-V,small SUVs,4WD,2012-14,14,6,22,10.0,4.0,0.0,1047803
MY2014,Jeep Compass,small SUVs,4WD,2011-14,22,0,43,18.0,3.0,0.0,234326
MY2014,Toyota RAV4,small SUVs,4WD,2013-14,25,7,43,19.0,6.0,2.0,402072
MY2014,Jeep Wrangler 2-door,small SUVs,4WD,2011-14,35,18,51,14.0,20.0,13.0,452036
MY2014,Ford Escape,small SUVs,4WD,2013-14,19,3,34,12.0,5.0,5.0,423524
MY2014,Jeep Compass,small SUVs,2WD,2011-14,39,3,75,19.0,22.0,16.0,180908
MY2014,Toyota RAV4,small SUVs,2WD,2013-14,13,3,39,9.0,4.0,0.0,224604
MY2014,Mitsubishi Outlander Sport,small SUVs,2WD,2011-14,29,6,86,0.0,29.0,20.0,101759
MY2014,Kia Sportage,small SUVs,4WD,2011-14,13,2,46,6.0,6.0,6.0,158604
MY2014,Ford Escape,small SUVs,2WD,2013-14,30,13,48,19.0,12.0,4.0,545121
MY2014,Hyundai Tucson,small SUVs,4WD,2011-14,41,0,82,33.0,5.0,0.0,155813
MY2014,Mazda CX-5,small SUVs,2WD,2013-14,29,6,84,19.0,10.0,0.0,104574
MY2014,Subaru Forester,small SUVs,4WD,2014,28,3,53,17.0,11.0,0.0,134402
MY2014,Volkswagen Tiguan,small SUVs,4WD,2011-14,30,3,56,24.0,6.0,0.0,127539
MY2014,Honda CR-V,small SUVs,2WD,2012-14,22,8,36,17.0,4.0,1.0,563737
MY2014,Volkswagen Tiguan,small SUVs,2WD,2011-14,0,0,25,0.0,0.0,0.0,145927
MY2014,Toyota Venza,midsize SUVs,4WD,2011-14,7,0,36,7.0,0.0,0.0,153115
MY2014,Hyundai Santa Fe Sport,midsize SUVs,2WD,2013-14,23,2,44,23.0,0.0,0.0,161600
MY2014,Ford Explorer,midsize SUVs,2WD,2011-14,27,9,45,22.0,4.0,4.0,545537
