cycle,nameplate,class,drivetrain,model_years,rate_overall,ci_lo,ci_hi,rate_mv,rate_sv,rate_sv_roll,exposure_rvy,level
MY2002,All 2002 large luxury cars,large luxury cars,,1999-2002,37,30,45,19.0,19.0,7.0,3405485,class
MY2002,All 2002 very large luxury cars,very large luxury cars,,1999-2002,47,35,59,26.0,20.0,7.0,1157664,class
MY2002,All 2002 mini sports cars,mini sports cars,,1999-2002,86,46,126,46.0,38.0,19.0,271635,class
MY2002,All 2002 small sports cars,small sports cars,,1999-2002,61,36,86,25.0,35.0,14.0,424062,class
MY2002,All 2002 midsize sports cars,midsize sports cars,,1999-2002,133,118,149,48.0,85.0,42.0,2432984,class
MY2002,All 2002 small station wagons/minivans,small station wagons/minivans,,2000-02,65,34,96,49.0,15.0,2.0,368411,class
MY2002,All 2002 midsize station wagons/minivans,midsize station wagons/minivans,,2000-02,47,25,70,11.0,40.0,27.0,535808,class
MY2002,All 2002 large station wagons/minivans,large station wagons/minivans,,1999-2002,82,40,124,72.0,5.0,3.0,282091,class
MY2002,All 2002 very large station wagons/minivans,very large station wagons/minivans,,1999-2002,42,36,48,26.0,15.0,9.0,7113651,class
MY2002,All 2002 small pickups,small pickups,,1999-2002,124,114,133,56.0,68.0,39.0,5776529,class
MY2002,All 2002 midsize pickups,midsize pickups,,2001-02,93,35,151,34.0,64.0,62.0,133940,class
MY2002,All 2002 large pickups,large pickups,,1999-2002,97,87,106,29.0,69.0,49.0,4638938,class
MY2002,All 2002 very large pickups,very large pickups,,1999-2002,69,56,82,31.0,38.0,22.0,1449621,class
MY2002,All 2002 small SUVs,small SUVs,,1999-2002,121,89,152,60.0,61.0,43.0,809416,class
MY2002,All 2002 midsize SUVs,midsize SUVs,,1999-2002,114,101,128,38.0,80.0,63.0,3769759,class
MY2002,All 2002 large SUVs,large SUVs,,1999-2002,70,55,85,31.0,39.0,31.0,1765992,class
MY2002,All 2002 very large SUVs,very large SUVs,,2000-02,103,39,167,19.0,92.0,75.0,174000,class
MY2002,All 2002 vehicles,all,,1999-2002,87,85,89,41.0,46.0,28.0,113607805,fleet
