direction,term,coef,ci_lo,ci_hi,p_value,n,note,placebo
left_side,C(cls)[T.midsize luxury cars],-0.10323638399335378,-1.3508256851306966,1.1443529171439892,0.8711605985379705,1946.0,,True
left_side,C(cls)[T.midsize station wagons/minivans],2.6320029384742423,0.4724505287056351,4.7915553482428495,0.016905798761314587,1946.0,,True
left_side,C(cls)[T.mini cars],1.4229469056850619,0.222989669674712,2.622904141695412,0.0201154881022934,1946.0,,True
left_side,C(cls)[T.mini station wagons/minivans],0.8928199674910274,-0.8078741491066365,2.5935140840886914,0.3035126296278695,1946.0,,True
left_side,C(cls)[T.small SUVs],1.2502513913808109,0.23894308256893648,2.2615597001926853,0.015390929631813093,1946.0,,True
left_side,C(cls)[T.small cars],1.4062940475526369,0.3943247824805989,2.418263312624675,0.006455801351289346,1946.0,,True
left_side,C(cls)[T.small pickups],0.22815009802686062,-0.8939773286691285,1.3502775247228498,0.6902628433326279,1946.0,,True
left_side,C(cls)[T.small station wagons/minivans],0.44846575907958625,-0.8196731857654709,1.7166047039246433,0.4882321342038992,1946.0,,True
left_side,C(cls)[T.very large station wagons/minivans],1.6111709047682348,0.5788736674312092,2.6434681421052604,0.0022204864508932496,1946.0,,True
left_side,C(driver_sex)[T.2.0],-0.08340977098174177,-0.26340920183184097,0.09658965986835744,0.3637588769869817,1946.0,,True
left_side,C(road_class)[T.urban],-0.31610992227556967,-0.4957775651689592,-0.1364422793821801,0.0005639395881771656,1946.0,,True
left_side,small_overlap_driver,0.018189327609721587,-0.5149601669160975,0.5513388221355406,0.9466871069243294,1946.0,,True
left_side,small_overlap_passenger,0.042881770434974736,-0.09314290035662676,0.17890644122657623,0.536655402881604,1946.0,,True
left_side,driver_age,0.02969253984440261,0.024513319447783646,0.03487176024102158,2.6987168086075996e-29,1946.0,,True
left_side,n_vehicles,-0.38787667091174033,-0.6261324379597373,-0.14962090386374344,0.0014188398366580697,1946.0,,True
left_side,speed_limit,0.03354987679349811,0.028497212162932325,0.038602541424063885,1.0155807546805718e-38,1946.0,,True
