direction,term,coef,ci_lo,ci_hi,p_value,n,note,placebo
left_side,C(cls)[T.midsize luxury SUVs],-0.2460590706009743,-1.642812716554304,1.1506945753523556,0.729886131805386,1946.0,,True
left_side,C(cls)[T.midsize luxury cars],-0.1032363839933537,-1.3508256851306966,1.1443529171439892,0.8711605985379705,1946.0,,True
left_side,C(cls)[T.midsize station wagons/minivans],2.6320029384742423,0.4724505287056351,4.7915553482428495,0.0169057987613145,1946.0,,True
left_side,C(cls)[T.mini cars],1.422946905685062,0.222989669674712,2.622904141695412,0.0201154881022934,1946.0,,True
left_side,C(cls)[T.mini station wagons/minivans],0.8928199674910274,-0.8078741491066365,2.5935140840886914,0.3035126296278695,1946.0,,True
left_side,C(cls)[T.small SUVs],1.2502513913808109,0.2389430825689364,2.2615597001926853,0.015390929631813,1946.0,,True
left_side,C(cls)[T.small cars],1.4062940475526369,0.3943247824805989,2.418263312624675,0.0064558013512893,1946.0,,True
left_side,C(cls)[T.small pickups],0.2281500980268606,-0.8939773286691285,1.3502775247228498,0.6902628433326279,1946.0,,True
left_side,C(cls)[T.small station wagons/minivans],0.4484657590795862,-0.8196731857654709,1.7166047039246433,0.4882321342038992,1946.0,,True
left_side,C(cls)[T.very large station wagons/minivans],1.6111709047682348,0.5788736674312092,2.6434681421052604,0.0022204864508932,1946.0,,True
left_side,C(driver_sex)[T.2.0],-0.0834097709817417,-0.2634092018318409,0.0965896598683574,0.3637588769869817,1946.0,,True
left_side,C(road_class)[T.urban],-0.3161099222755696,-0.4957775651689592,-0.1364422793821801,0.0005639395881771,1946.0,,True
left_side,small_overlap_driver,0.0181893276097215,-0.5149601669160975,0.5513388221355406,0.9466871069243294,1946.0,,True
left_side,small_overlap_passenger,0.0428817704349747,-0.0931429003566267,0.1789064412265762,0.536655402881604,1946.0,,True
left_side,driver_age,0.0296925398444026,0.0245133194477836,0.0348717602410215,2.6987168086076e-29,1946.0,,True
left_side,n_vehicles,-0.3878766709117403,-0.6261324379597373,-0.1496209038637434,0.001418839836658,1946.0,,True
left_side,speed_limit,0.0335498767934981,0.0284972121629323,0.0386025414240638,1.0155807546805718e-38,1946.0,,True
