nameplate,drivetrain,class,study_cycle,rate_overall,ci_lo,ci_hi,rating_composite,class_z
Ford Mustang coupe,,midsize sports cars,MY2017,45.0,20.0,70.0,,-0.8006407690254357
Ford Mustang GT coupe,,midsize sports cars,MY2017,81.0,43.0,119.0,,1.1208970766356101
Chevrolet Camaro coupe,,large sports cars,MY2017,39.0,10.0,69.0,,
Hyundai Accent,,mini station wagons/minivans,MY2017,81.0,41.0,121.0,,0.9897475249773012
Ford Fiesta,,mini station wagons/minivans,MY2017,65.0,33.0,97.0,,0.02019892908116913
Honda Fit,,mini station wagons/minivans,MY2017,48.0,23.0,73.0,,-1.0099464540584713
Chevrolet Sonic,,small station wagons/minivans,MY2017,74.0,36.0,111.0,,0.8268151344937491
Fiat 500L,,small station wagons/minivans,MY2017,24.0,0.0,62.0,,-0.8779583386892387
Kia Soul,,small station wagons/minivans,MY2017,70.0,52.0,87.0,,0.69043325663911
Nissan Versa Note,,small station wagons/minivans,MY2017,96.0,65.0,127.0,,1.5769154626942636
Ford C-Max hybrid,,small station wagons/minivans,MY2017,37.0,0.0,78.0,,-0.43471723566166187
Ford Focus,,small station wagons/minivans,MY2017,60.0,42.0,78.0,,0.3494785620025125
Toyota Prius v,,small station wagons/minivans,MY2017,19.0,3.0,34.0,,-1.0484356860075374
Subaru XV Crosstrek,,small station wagons/minivans,MY2017,18.0,7.0,28.0,,-1.0825311554711972
Subaru Outback,,midsize station wagons/minivans,MY2017,3.0,0.0,6.0,,
Chrysler Pacifica,,very large station wagons/minivans,MY2017,27.0,0.0,58.0,,0.5002772387238259
Honda Odyssey,,very large station wagons/minivans,MY2017,8.0,2.0,14.0,,-1.000554477447652
Toyota Sienna,2WD,very large station wagons/minivans,MY2017,20.0,10.0,31.0,,-0.05266076197092914
Dodge Grand Caravan,,very large station wagons/minivans,MY2017,41.0,28.0,54.0,,1.6061532401133358
Kia Sedona,,very large station wagons/minivans,MY2017,21.0,4.0,38.0,,0.02633038098546443
Toyota Sienna,4WD,very large station wagons/minivans,MY2017,7.0,0.0,18.0,,-1.0795456204040454
Nissan Frontier King Cab,2WD,small pickups,MY2017,42.0,10.0,75.0,,0.9855803019806247
Toyota Tacoma Double Cab short bed,2WD,small pickups,MY2017,29.0,0.0,61.0,,0.09168188855633712
Chevrolet Colorado Crew Cab,2WD,small pickups,MY2017,16.0,0.0,35.0,,-0.8022165248679506
Chevrolet Colorado Crew Cab,4WD,small pickups,MY2017,32.0,5.0,59.0,,0.29796613780809583
Toyota Tacoma Double Cab short bed,4WD,small pickups,MY2017,21.0,5.0,36.0,,-0.45840944278168605
Nissan Frontier Crew Cab short bed,2WD,small pickups,MY2017,58.0,30.0,87.0,,2.0857629646566713
Chevrolet Colorado Extended Cab,2WD,small pickups,MY2017,15.0,0.0,36.0,,-0.8709779412852034
GMC Canyon Crew Cab,4WD,small pickups,MY2017,15.0,0.0,36.0,,-0.8709779412852034
Nissan Frontier Crew Cab short bed,4WD,small pickups,MY2017,21.0,4.0,39.0,,-0.45840944278168605
Ford F-150,2WD,large pickups,MY2017,42.0,8.0,77.0,,0.9339905629340925
Chevrolet Silverado 1500 Extended Cab,2WD,large pickups,MY2017,37.0,18.0,56.0,,0.5355304251635752
Chevrolet Silverado 1500 Crew Cab,4WD,large pickups,MY2017,26.0,19.0,33.0,,-0.3410818779315629
Ford F-150 SuperCab,4WD,large pickups,MY2017,11.0,2.0,21.0,,-1.536462291243115
Toyota Tundra Double Cab short bed,2WD,large pickups,MY2017,17.0,0.0,35.0,,-1.0583101259184942
Ram 1500 short bed,2WD,large pickups,MY2017,44.0,8.0,79.0,,1.0933746180422994
Toyota Tundra Crew Max,4WD,large pickups,MY2017,7.0,1.0,14.0,,-1.8552304014595287
Chevrolet Silverado 1500 Extended Cab,4WD,large pickups,MY2017,24.0,16.0,32.0,,-0.5004659330397698
GMC Sierra 1500 Extended Cab,2WD,large pickups,MY2017,27.0,0.0,54.0,,-0.26138985037745943
GMC Sierra 1500 Extended Cab,4WD,large pickups,MY2017,20.0,7.0,33.0,,-0.8192340432561837
Toyota Tundra Crew Max,2WD,large pickups,MY2017,34.0,10.0,59.0,,0.2964543425012648
Ram 1500 Crew Cab short bed,2WD,large pickups,MY2017,37.0,19.0,56.0,,0.5355304251635752
Chevrolet Silverado 1500 Crew Cab,2WD,large pickups,MY2017,54.0,35.0,74.0,,1.8902948935833341
Chevrolet Silverado 1500,4WD,large pickups,MY2017,51.0,15.0,87.0,,1.6512188109210237
Ram 1500 Crew Cab short bed,4WD,large pickups,MY2017,39.0,28.0,50.0,,0.6949144802717822
Ford F-150 Crew Cab,4WD,large pickups,MY2017,25.0,17.0,34.0,,-0.4207739054856664
GMC Sierra 1500 Crew Cab,2WD,large pickups,MY2017,48.0,21.0,74.0,,1.4121427282587133
Ford F-150 Supercab,2WD,large pickups,MY2017,23.0,4.0,43.0,,-0.5801579605938733
Ram 1500 Crew Cab long bed,4WD,large pickups,MY2017,16.0,0.0,32.0,,-1.1380021534725975
Toyota Tundra Double Cab short bed,4WD,large pickups,MY2017,13.0,1.0,25.0,,-1.3770782361349079
Chevrolet Silverado 1500,2WD,large pickups,MY2017,32.0,12.0,52.0,,0.13707028739305788
Ford F-150 Crew Cab,2WD,large pickups,MY2017,30.0,15.0,45.0,,-0.02231376771514906
Ram 1500 Quad Cab,2WD,large pickups,MY2017,41.0,20.0,62.0,,0.854298535379989
Ram 1500 Quad Cab,4WD,large pickups,MY2017,30.0,15.0,45.0,,-0.02231376771514906
GMC Sierra 1500 Crew Cab,4WD,large pickups,MY2017,29.0,18.0,40.0,,-0.10200579526925252
